BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
4.720489,2.15361,2,0.3681449,3,3.457896,2,0.8000888,0,9.608892,0
4.246439,1.755221,1,0.3190774,0,3.13983,2,1.056601,0,11.77463,1
6.409826,2.159795,1,0.4395536,2,2.672704,0,0.9140744,0,11.53748,1
4.908812,1.877756,3,0.457915,3,1.800932,2,1.112131,0,9.759125,0
4.786864,2.273175,2,0.3487491,4,3.414806,2,1.069856,1,9.809298,1
4.786864,2.273175,2,0.3487491,4,3.414806,2,1.069856,1,9.809298,1
5.955697,2.426211,2,0.5320768,1,2.670035,0,0.8132746,0,9.621851,0
5.955697,2.426211,2,0.5320768,1,2.670035,0,0.8132746,0,9.621851,0
6.097469,2.401018,2,0.5401996,4,2.249706,1,1.12349,0,8.293665,1
6.097469,2.401018,2,0.5401996,4,2.249706,1,1.12349,0,8.293665,1
4.680202,2.405099,3,0.5096633,4,2.995663,2,0.705952,0,9.21477,1
4.680202,2.405099,3,0.5096633,4,2.995663,2,0.705952,0,9.21477,0
3.761033,2.218787,1,0.5014914,1,2.326077,2,0.88072,0,10.18637,1
4.811996,2.246466,1,0.5123968,0,2.627691,1,0.8314711,0,9.235433,1
4.459759,1.253672,3,0.2280104,4,3.24192,0,0.9736432,0,9.579075,1
4.459759,1.253672,3,0.2280104,4,3.24192,0,0.9736432,0,9.579075,0
4.459759,1.253672,3,0.2280104,4,3.24192,0,0.9736432,0,9.579075,0
4.865026,1.640015,2,0.3734262,2,1.547339,0,0.9438651,0,11.60883,1
4.865026,1.640015,2,0.3734262,2,1.547339,0,0.9438651,0,11.60883,0
4.214898,1.218022,1,0.2238213,4,2.565839,0,1.183217,0,8.644693,1
5.80987,2.16556,3,0.2274802,4,2.08321,0,1.098186,0,10.15062,1
5.80987,2.16556,3,0.2274802,4,2.08321,0,1.098186,0,10.15062,1
5.80987,2.16556,3,0.2274802,4,2.08321,0,1.098186,0,10.15062,0
5.091521,1.923777,3,0.5596576,3,3.615904,1,0.8790213,0,10.95122,1
5.091521,1.923777,3,0.5596576,3,3.615904,1,0.8790213,0,10.95122,1
5.091521,1.923777,3,0.5596576,3,3.615904,1,0.8790213,0,10.95122,0
6.399415,2.135277,1,0.4322409,4,1.824875,0,0.9848071,0,9.540956,1
4.446941,1.542225,3,0.2198218,3,3.114844,1,1.162174,0,11.85394,1
4.446941,1.542225,3,0.2198218,3,3.114844,1,1.162174,0,11.85394,1
4.446941,1.542225,3,0.2198218,3,3.114844,1,1.162174,0,11.85394,0
3.592116,2.449039,1,0.3121575,0,2.030144,0,0.8911207,0,11.4694,1
6.370118,1.914783,2,0.5181479,3,3.642763,1,1.120785,0,9.376112,1
6.370118,1.914783,2,0.5181479,3,3.642763,1,1.120785,0,9.376112,1
5.742611,1.525539,3,0.4334953,2,3.230513,0,0.8419635,1,11.66952,1
5.742611,1.525539,3,0.4334953,2,3.230513,0,0.8419635,1,11.66952,1
5.742611,1.525539,3,0.4334953,2,3.230513,0,0.8419635,1,11.66952,1
4.312086,1.862802,3,0.2224137,4,2.448551,0,1.195348,0,10.64981,0
4.312086,1.862802,3,0.2224137,4,2.448551,0,1.195348,0,10.64981,0
4.312086,1.862802,3,0.2224137,4,2.448551,0,1.195348,0,10.64981,0
4.190156,2.485984,3,0.4973585,3,3.214981,1,0.8400502,0,10.03948,1
4.190156,2.485984,3,0.4973585,3,3.214981,1,0.8400502,0,10.03948,1
4.190156,2.485984,3,0.4973585,3,3.214981,1,0.8400502,0,10.03948,1
5.672308,1.709953,1,0.3065389,2,3.426715,1,0.7521994,0,9.941469,1
5.055524,1.432369,1,0.2983066,1,3.895319,1,1.175866,0,9.208685,1
3.850089,1.773154,3,0.5457037,3,1.953494,2,1.099635,0,9.507011,1
3.850089,1.773154,3,0.5457037,3,1.953494,2,1.099635,0,9.507011,1
3.850089,1.773154,3,0.5457037,3,1.953494,2,1.099635,0,9.507011,1
4.305136,1.566328,1,0.2982394,0,3.685296,2,0.8888437,1,10.02026,0
4.470788,2.426854,2,0.4313423,0,2.522238,1,0.8736831,1,8.221928,0
4.470788,2.426854,2,0.4313423,0,2.522238,1,0.8736831,1,8.221928,0
3.81355,1.852788,3,0.2764674,0,1.733591,1,0.8470844,0,9.97567,0
3.81355,1.852788,3,0.2764674,0,1.733591,1,0.8470844,0,9.97567,0
3.81355,1.852788,3,0.2764674,0,1.733591,1,0.8470844,0,9.97567,0
5.42485,1.761403,3,0.4209969,3,2.528666,2,0.7430484,0,9.991991,0
5.42485,1.761403,3,0.4209969,3,2.528666,2,0.7430484,0,9.991991,0
5.42485,1.761403,3,0.4209969,3,2.528666,2,0.7430484,0,9.991991,0
4.888782,1.39531,1,0.4752203,4,2.712193,0,0.9628276,0,8.607221,1
5.300325,1.716246,2,0.5154686,3,3.968474,2,0.9353679,0,9.142271,0
5.300325,1.716246,2,0.5154686,3,3.968474,2,0.9353679,0,9.142271,0
3.865095,1.366655,1,0.237862,2,3.56713,0,1.036584,0,10.48198,1
5.93513,1.801341,3,0.4192442,0,1.949859,1,0.9785664,0,11.8672,1
5.93513,1.801341,3,0.4192442,0,1.949859,1,0.9785664,0,11.8672,0
4.099743,1.259831,1,0.5460309,1,3.898791,1,0.9006449,0,9.273083,1
3.701586,2.408737,2,0.3255137,0,2.730882,0,1.058097,0,10.60316,1
3.701586,2.408737,2,0.3255137,0,2.730882,0,1.058097,0,10.60316,1
4.34769,1.336083,1,0.2088245,2,2.321159,2,1.105019,0,9.988905,0
6.169323,1.297737,2,0.3723094,0,3.507725,2,1.196369,1,9.372694,0
6.169323,1.297737,2,0.3723094,0,3.507725,2,1.196369,1,9.372694,0
4.012134,1.280741,3,0.4877594,4,2.628706,2,0.7224384,0,8.937189,1
4.012134,1.280741,3,0.4877594,4,2.628706,2,0.7224384,0,8.937189,1
4.012134,1.280741,3,0.4877594,4,2.628706,2,0.7224384,0,8.937189,1
